Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,ATR_14,Daily_Return,Log_Return,Label_ThreeClass
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,4494.64990234375,0,,,,4494.64990234375,4494.64990234375,4494.64990234375,,0.0,0.0,0.0,,,,66.19970703125,,,BUY
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,4546.2001953125,0,,,,4499.559454055059,4496.671482460172,4495.162840582245,100.0,4.11227408297782,0.822454816595564,3.2898192663822554,,,,66.489013671875,0.0114692565803331,0.0114039832738268,BUY
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,4732.35009765625,0,,,,4521.729991540887,4505.9137810953125,4497.5229127919365,100.0,22.136842579023323,5.085332369081116,17.051510209942208,,,,75.51121303013393,0.0409462615693179,0.0401301663688831,HOLD
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,4747.5498046875,0,,,,4543.236640411993,4515.389703589124,4500.010742562042,100.0,37.21889603478212,11.512045102221318,25.7068509325608,,,,72.95328319316008,0.0032118728998469,0.0032067258542439,BUY
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,4837.5498046875,0,,,,4571.266465581089,4528.0234330439625,4503.3693401951305,100.0,55.790659898583726,20.3677680614938,35.42289183708993,,,,76.45662010793436,0.0189571470974645,0.018779699477461,BUY
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,4932.2001953125,0,,,,4605.64110650789,4543.873502152533,4507.63631387789,100.0,77.25585465770382,31.745385380735804,45.51046927696802,,,,78.42400438593904,0.0195657707819949,0.0193768217342444,HOLD
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,4938.85009765625,0,,,,4637.375296141066,4559.36278040758,4511.926998293595,100.0,93.72338287922048,44.14098488043274,49.58239799878774,,,,78.23300407265769,0.0013482628604715,0.0013473547702389,HOLD
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,4940.5,0,,,,4666.244315556202,4574.309338038656,4516.191406270774,100.0,105.6888358565002,56.45055507564624,49.23828078085396,,,,76.252075210325,0.0003340660905122,0.0003340103028599,BUY
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,5000.5498046875,0,,,,4698.082933568708,4591.024650456258,4521.010892822184,100.0,118.64934513449498,68.89031308741599,49.75903204707899,,,,76.22692000556964,0.0121546006856594,0.0120813266734592,HOLD
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,5021.35009765625,0,,,,4728.870282529426,4607.900158189592,4525.989392372772,100.0,129.11074363602074,80.93439919713694,48.1763444388838,,,,75.02139781767181,0.0041596012001023,0.0041509739746342,BUY
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,5068.9501953125,0,,,,4761.258845651623,4625.980551802255,4531.391987426899,100.0,139.63280730482438,92.67408081867444,46.95872648614996,,,,75.94484847578454,0.0094795417030306,0.0094348927932675,BUY
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,5210.7998046875,0,,,,4804.072270321707,4648.914640150696,4538.152264215561,100.0,157.6009706729219,105.65945878952392,51.94151188339798,,,,86.74880182126421,0.0279840211304847,0.0275996232647812,HOLD
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,5208.64990234375,0,,,,4842.603473371425,4670.865042589639,4544.823882505394,99.71845712868928,169.71106690628312,118.46978041287576,51.24128649340736,,,,88.19890833179892,-0.0004125858648064,-0.0004126710017726,HOLD
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,5185.85009765625,0,,,,4875.293628065218,4691.060534945193,4551.202252805403,96.61194926744052,175.4462169498711,129.86506772027485,45.58114922959624,,,,87.90254378577757,-0.0043772964424506,-0.004386904854019,SELL
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,5085.10009765625,0,,,,4895.275196597698,4706.513066816215,4556.514669172078,84.13840699191496,169.90314399883755,137.8726829759874,32.03046102285015,,,,97.6630624216149,-0.0194278658470159,-0.0196190673083014,BUY
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,5327.25,0,,,,4936.415654064584,4730.855691646951,4564.183677439023,88.11137120087649,182.94086373699972,146.88631912818988,36.05454460880986,,,,115.52641510578526,0.0476194957215017,0.0465204433689621,BUY
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,5441.4501953125,0,,,,4984.51418180248,4758.722142771089,4572.912697517367,89.45308675925483,200.18079234610832,157.54521377177358,42.63557857433474,,,,116.37811369197917,0.021436988185743,0.0212104477984991,BUY
